atomic_number,symbol,name,category,phase,source_page,image_url,original_file,retouched_file,status,description,attribution,license,width,height,license_url,retouch_method,sha256_original,retouched_width,retouched_height,retrieved_date
16,S,Sulfur,polyatomic nonmetal,Solid,https://images-of-elements.com/sulfur.php,https://images-of-elements.com/sulfur.jpg,originals/016_S_Sulfur.jpg,photos/016_S_Sulfur.png,specimen_photo,Sulfur crystal,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1404,1404,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,351d38bf5a54616a623f1ed0138c87b07f2b58f78815619ef9816d4dc0c4a8f2,1254,1254,2026-09-05
17,Cl,Chlorine,diatomic nonmetal,Gas,https://images-of-elements.com/chlorine.php,https://images-of-elements.com/chlorine.jpg,originals/017_Cl_Chlorine.jpg,photos/017_Cl_Chlorine.png,specimen_photo,"Liquid chlorine under pressure, inside a sealed container.",Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,940,940,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,972b17b61d3250f25a9009883c0613629a9b8fde9318ae7c41b3c44908a3f0f8,1254,1254,2026-09-05
18,Ar,Argon,noble gas,Gas,https://images-of-elements.com/argon.php,https://images-of-elements.com/argon.jpg,originals/018_Ar_Argon.jpg,photos/018_Ar_Argon.png,gas_discharge_photo,Electrically excited argon in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,968,968,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,38e28f9593fe07e72f468739424506fdf2669755798772eb6d1ea4210c1c4b05,1254,1254,2026-09-05
19,K,Potassium,alkali metal,Solid,https://images-of-elements.com/potassium.php,https://images-of-elements.com/potassium.jpg,originals/019_K_Potassium.jpg,photos/019_K_Potassium.png,specimen_photo,Potassium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1588,1588,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,92cf4472975856195f570df56f269386497e1620310618c984aa166f415da540,1254,1254,2026-09-05
20,Ca,Calcium,alkaline earth metal,Solid,https://images-of-elements.com/calcium.php,https://images-of-elements.com/calcium.jpg,originals/020_Ca_Calcium.jpg,photos/020_Ca_Calcium.png,specimen_photo,Calcium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1072,1072,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,fed23b21cc8c9acd26a46d0a9112c8c6b40db25bc1f346f19bd166f73336385d,1254,1254,2026-09-05
21,Sc,Scandium,transition metal,Solid,https://images-of-elements.com/scandium.php,https://images-of-elements.com/scandium.jpg,originals/021_Sc_Scandium.jpg,photos/021_Sc_Scandium.png,specimen_photo,Scandium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,924,924,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,82c7e24b7e213b256593381ffa79bd0692815978a8a31ca7222081a3f1f7331d,1254,1254,2026-09-05
22,Ti,Titanium,transition metal,Solid,https://images-of-elements.com/titanium.php,https://images-of-elements.com/titanium-crystal.jpg,originals/022_Ti_Titanium.jpg,photos/022_Ti_Titanium.png,specimen_photo,Titanium crystal,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1228,1228,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,0dcb5f5008fb94149445c27a5cd753ee4a1a3a846de4fb76ed55a76d157738e3,1254,1254,2026-09-05
23,V,Vanadium,transition metal,Solid,https://images-of-elements.com/vanadium.php,https://images-of-elements.com/vanadium.jpg,originals/023_V_Vanadium.jpg,photos/023_V_Vanadium.png,specimen_photo,Vanadium with oxide layer,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,944,944,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,1097b5c6a766cfe1f7e88b775d68e344e4b3a9ab0fed9abc736488d872da21a6,1254,1254,2026-09-05
24,Cr,Chromium,transition metal,Solid,https://images-of-elements.com/chromium.php,https://images-of-elements.com/chromium.jpg,originals/024_Cr_Chromium.jpg,photos/024_Cr_Chromium.png,specimen_photo,Chromium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1128,1128,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,e1c8f7200c22c50b4e6bd255923238c24ccd627c7c3a8493048956cc9d91d607,1254,1254,2026-09-05
25,Mn,Manganese,transition metal,Solid,https://images-of-elements.com/manganese.php,https://images-of-elements.com/manganese.jpg,originals/025_Mn_Manganese.jpg,photos/025_Mn_Manganese.png,specimen_photo,Manganese with crystals,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1184,1184,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,f3bd6e715ee54a2daf0b2f168a2b336cf8b3f782240745be124c56b4abecbe9c,1254,1254,2026-09-05
26,Fe,Iron,transition metal,Solid,https://images-of-elements.com/iron.php,https://images-of-elements.com/iron-3.jpg,originals/026_Fe_Iron.jpg,photos/026_Fe_Iron.png,specimen_photo,"Pure iron cylinder, 16 grams, 1 cm diameter.",Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,908,908,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,a7f03028540a1c15487e1901143911d3d56890432a949e1cdbb9ec3e53b4a0f9,1254,1254,2026-09-05
27,Co,Cobalt,transition metal,Solid,https://images-of-elements.com/cobalt.php,https://images-of-elements.com/cobalt.jpg,originals/027_Co_Cobalt.jpg,photos/027_Co_Cobalt.png,specimen_photo,Cobalt,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1160,1160,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,a7dd60cf929c849a997e583d5f1d2ca904d1cc05ab37f7e5b43c3620ded1adcb,1254,1254,2026-09-05
28,Ni,Nickel,transition metal,Solid,https://images-of-elements.com/nickel.php,https://images-of-elements.com/nickel.jpg,originals/028_Ni_Nickel.jpg,photos/028_Ni_Nickel.png,specimen_photo,Nickel,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1108,1108,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,26d3029b65de9dfdd39ca4cbef15d73dd1bf38e6ee7d380b2be6cf07f99bfa35,1254,1254,2026-09-05
29,Cu,Copper,transition metal,Solid,https://images-of-elements.com/copper.php,https://images-of-elements.com/copper.jpg,originals/029_Cu_Copper.jpg,photos/029_Cu_Copper.png,specimen_photo,Copper nugget,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1300,1300,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,c5e2f4703c8b39429861633a0286a3a9effbb25d34fe50a021ea1bae0b52cf3d,1254,1254,2026-09-05
30,Zn,Zinc,transition metal,Solid,https://images-of-elements.com/zinc.php,https://images-of-elements.com/zinc.jpg,originals/030_Zn_Zinc.jpg,photos/030_Zn_Zinc.png,specimen_photo,Zinc,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1164,1164,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,72ca52c5d37a4cab4a88949b0b291ea4d00fe78cdbbfdce2cc8cca2bc26b60ca,1254,1254,2026-09-05
31,Ga,Gallium,post-transition metal,Solid,https://images-of-elements.com/gallium.php,https://images-of-elements.com/gallium.jpg,originals/031_Ga_Gallium.jpg,photos/031_Ga_Gallium.png,specimen_photo,Crystallizing gallium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,914,914,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,760cf76ee9f268cba32fafd70457c40e5d43958cea7aa65a27e45c5fbc830857,1254,1254,2026-09-05
32,Ge,Germanium,metalloid,Solid,https://images-of-elements.com/germanium.php,https://images-of-elements.com/germanium.jpg,originals/032_Ge_Germanium.jpg,photos/032_Ge_Germanium.png,specimen_photo,Germanium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1056,1056,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,5a4ea700415364edda2b50b9a2553c16f5094efcc1976d95c4bd608532a93de7,1254,1254,2026-09-05
33,As,Arsenic,metalloid,Solid,https://images-of-elements.com/arsenic.php,https://images-of-elements.com/arsenic.jpg,originals/033_As_Arsenic.jpg,photos/033_As_Arsenic.png,specimen_photo,Two pieces of arsenic,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,720,720,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,c85ff3256e3751996766bfe57d6ef9fb66c5e4e470c73746eafe7b3e948f5e9c,1254,1254,2026-09-05
34,Se,Selenium,polyatomic nonmetal,Solid,https://images-of-elements.com/selenium.php,https://images-of-elements.com/selenium.jpg,originals/034_Se_Selenium.jpg,photos/034_Se_Selenium.png,specimen_photo,Selenium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1024,1024,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,3df67ec629c15a37cd50b2b688237d67eaea429eac917a535867a3ddc6681144,1254,1254,2026-09-05
35,Br,Bromine,diatomic nonmetal,Liquid,https://images-of-elements.com/bromine.php,https://images-of-elements.com/bromine.jpg,originals/035_Br_Bromine.jpg,photos/035_Br_Bromine.png,specimen_photo,Bromine,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1384,1384,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,19124b189b7e605ca52e4116660c5e4358de968a5732cf065aad8ace8e0f9bb6,1254,1254,2026-09-05
36,Kr,Krypton,noble gas,Gas,https://images-of-elements.com/krypton.php,https://images-of-elements.com/krypton.jpg,originals/036_Kr_Krypton.jpg,photos/036_Kr_Krypton.png,gas_discharge_photo,Electrically excited krypton in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1016,1016,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,f19e3fae7d59d9e5e2a837135e7a911b80eaf5fae8d30d0d1f2c6600e55e6196,1254,1254,2026-09-05
37,Rb,Rubidium,alkali metal,Solid,https://images-of-elements.com/rubidium.php,https://images-of-elements.com/rubidium.jpg,originals/037_Rb_Rubidium.jpg,photos/037_Rb_Rubidium.png,specimen_photo,Rubidium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1048,1048,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,08d96528028cfad808c05e8cc4b1c404c80acf02349ccf6707cfb568bb259d56,1254,1254,2026-09-05
38,Sr,Strontium,alkaline earth metal,Solid,https://images-of-elements.com/strontium.php,https://images-of-elements.com/strontium.jpg,originals/038_Sr_Strontium.jpg,photos/038_Sr_Strontium.png,specimen_photo,Strontium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1044,1044,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,84bc305af57492ac7e8619b9ac6be2251f3c3a5aa896c99f91804ae5afd3a9e3,1254,1254,2026-09-05
39,Y,Yttrium,transition metal,Solid,https://images-of-elements.com/yttrium.php,https://images-of-elements.com/yttrium.jpg,originals/039_Y_Yttrium.jpg,photos/039_Y_Yttrium.png,specimen_photo,Yttrium front,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1216,1216,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,06d079be6e79d31be0384d7bddd13f8379035fd38670b94fd0d7c1827a864f2a,1254,1254,2026-09-05
40,Zr,Zirconium,transition metal,Solid,https://images-of-elements.com/zirconium.php,https://images-of-elements.com/zirconium.jpg,originals/040_Zr_Zirconium.jpg,photos/040_Zr_Zirconium.png,specimen_photo,Zirconium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,940,940,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,d53034cf32c8d1b8a0cfb5a2ceb914c6432bed1c95beece792d503377143a0c2,1254,1254,2026-09-05
41,Nb,Niobium,transition metal,Solid,https://images-of-elements.com/niobium.php,https://images-of-elements.com/niobium.jpg,originals/041_Nb_Niobium.jpg,photos/041_Nb_Niobium.png,specimen_photo,Niobium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,902,902,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,d8176faa4cb7c82f71c3640dcbc1b6649fc4379968ff1aff91d58bdc2accea86,1254,1254,2026-09-05
42,Mo,Molybdenum,transition metal,Solid,https://images-of-elements.com/molybdenum.php,https://images-of-elements.com/molybdenum.jpg,originals/042_Mo_Molybdenum.jpg,photos/042_Mo_Molybdenum.png,specimen_photo,Molybdenum crystal,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1180,1180,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,8f2e629cddc287d3c6a583b4cdb1b54e68178bfe5f1f5cc814a9ae40d50bcb9b,1254,1254,2026-09-05
43,Tc,Technetium,transition metal,Solid,https://images-of-elements.com/technetium.php,https://images-of-elements.com/s/technetium.jpg,originals/043_Tc_Technetium.jpg,photos/043_Tc_Technetium.png,specimen_photo,Technetium,Public-domain photo reproduced by Chemical Elements — A Virtual Museum,Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,ccbae8026c499b90adf127ffa418143fa4e50758ba76b9d5c86bd63ca6d235a3,1254,1254,2026-09-05
44,Ru,Ruthenium,transition metal,Solid,https://images-of-elements.com/ruthenium.php,https://images-of-elements.com/ruthenium.jpg,originals/044_Ru_Ruthenium.jpg,photos/044_Ru_Ruthenium.png,specimen_photo,Ruthenium front,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,852,852,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,b60b3431dd8d96de7aae114edbbcd98534946ca968793010e543342bc931ba03,1254,1254,2026-09-05
45,Rh,Rhodium,transition metal,Solid,https://images-of-elements.com/rhodium.php,https://images-of-elements.com/s/rhodium.jpg,originals/045_Rh_Rhodium.jpg,photos/045_Rh_Rhodium.png,specimen_photo,Rhodium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,400,400,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,1dd266b55b85ef3e07a1b775e1fa6ac727d4b202fd7a14a66b1f89767fbc96c2,1254,1254,2026-09-05
46,Pd,Palladium,transition metal,Solid,https://images-of-elements.com/palladium.php,https://images-of-elements.com/palladium.jpg,originals/046_Pd_Palladium.jpg,photos/046_Pd_Palladium.png,specimen_photo,Palladium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,730,730,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,02a271d72af987febeefe4112d5a869905b8c805b9f940fedea6999563c17b03,1254,1254,2026-09-05
47,Ag,Silver,transition metal,Solid,https://images-of-elements.com/silver.php,https://images-of-elements.com/silver.jpg,originals/047_Ag_Silver.jpg,photos/047_Ag_Silver.png,specimen_photo,Silver nugget,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,624,624,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,0805cb7839b82446c88ef36ce6c6c062fb0572a4b3357baad913935ad626ae11,1254,1254,2026-09-05
48,Cd,Cadmium,transition metal,Solid,https://images-of-elements.com/cadmium.php,https://images-of-elements.com/cadmium.jpg,originals/048_Cd_Cadmium.jpg,photos/048_Cd_Cadmium.png,specimen_photo,Cadmium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1150,1150,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,d863ed96c45df3d7416f247182a980bbb6d33ce369c60cb70c136e4b1e7d703f,1254,1254,2026-09-05
49,In,Indium,post-transition metal,Solid,https://images-of-elements.com/indium.php,https://images-of-elements.com/indium.jpg,originals/049_In_Indium.jpg,photos/049_In_Indium.png,specimen_photo,Indium ingot,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1144,1144,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,db63b9deb93ce09ea5a0a266a00dfb10a4e12a38dbc890ee8ce93f3da3155e53,1254,1254,2026-09-05
50,Sn,Tin,post-transition metal,Solid,https://images-of-elements.com/tin.php,https://images-of-elements.com/tin.jpg,originals/050_Sn_Tin.jpg,photos/050_Sn_Tin.png,specimen_photo,Tin blob,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1336,1336,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,17f6ad595f5dc14c7e557994e4d2cf5669fe95b2a2a3ae00c08a85a92ac2f2fa,1254,1254,2026-09-05
51,Sb,Antimony,metalloid,Solid,https://images-of-elements.com/antimony.php,https://images-of-elements.com/antimony.jpg,originals/051_Sb_Antimony.jpg,photos/051_Sb_Antimony.png,specimen_photo,Antimony,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1074,1074,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,2ed9fc8493741f6c86b8d1414f54a7943a6b1ec198a766523171ee2e64433bf7,1254,1254,2026-09-05
